dataset,outcome,model,seed,n_train,n_validation,n_test,n_features,fit_seconds,predict_seconds,qini_auc_normalized,qini_coefficient,uplift_auc_normalized,auuc,uplift_at_10pct,uplift_at_20pct,ate_test,cate_mean,cate_std,test_events_control,test_events_treated
lzd,Y,t_learner,3,109058,36152,36459,64,1.7749399889726192,0.0859088649740442,0.0205247942347191,0.0001793612872108,0.0015726325460397,0.0019846210027903,0.0103758802636665,0.00780461083044,0.0032000225239847,0.0061327824717478,0.0475414461347597,595,711
lzd,Y,x_learner,3,109058,36152,36459,64,1.454960237024352,0.0377081069163978,0.0540760974150532,0.0004725581328019,0.0038940580029725,0.0025523587400775,0.0055539060726199,0.0107143706355061,0.0032000225239847,0.004462328459218,0.0189687196497377,595,711
lzd,Y,dr_learner,3,109058,36152,36459,64,1.7340331169543788,0.0137145419139415,0.0149809046500894,0.0001309145568474,0.0011060801136276,0.0018705189447154,0.0149579828896788,0.0039456409154995,0.0032000225239847,0.0043515837909963,0.0188229240278978,595,711
lzd,Y,dragonnet,3,109058,36152,36459,64,46.96669556305278,0.0135430740192532,6.144323191013888e-05,5.3693776608753e-07,4.340131363071327e-05,0.0016106256728589,0.020641857758161,0.0082617705972456,0.0032000225239847,0.0057854784369721,0.0124115634226508,595,711
lzd,Y,t_learner,4,109168,36265,36236,64,2.392235862091184,0.1295774920145049,-0.0510147130457715,-0.0004625502790627,-0.0036458225375265,-5.080589836945571e-05,-0.0019325134088718,-0.0003814009855145,0.0016903234604401,0.0041578220590073,0.0471098777974537,619,702
lzd,Y,x_learner,4,109168,36265,36236,64,1.8679527739295736,0.0544936859514564,0.0211764927998588,0.000192007208692,0.0015756563635827,0.0012323821944692,0.0040915033874905,0.0045680787304465,0.0016903234604401,0.0039280067844072,0.0191930275621152,619,702
lzd,Y,dr_learner,4,109168,36265,36236,64,2.3125868280185387,0.0148209939943626,0.0319303290410661,0.000289512215726,0.0023369107523474,0.0014194618678309,0.0066791973992635,0.0033203168156899,0.0016903234604401,0.0042195206066276,0.0190686675833439,619,702
lzd,Y,dragonnet,4,109168,36265,36236,64,37.80457541299984,0.0127049789298325,0.0166044750818316,0.0001505527351668,0.0011833316053376,0.001135967659844,0.000409795797808,0.0024985170987284,0.0016903234604401,0.006444497703167,0.0169369487157882,619,702
retailhero,Y,t_learner,0,120023,40008,40008,5,0.6936367370653898,0.1820917419390753,0.0119282281282372,0.0012246057990881,0.0089936571013122,0.0190980045324407,0.0476029393123653,0.0541365977223298,0.0332272718325169,0.0326217321324115,0.0525615540826711,12072,12728
retailhero,Y,x_learner,0,120023,40008,40008,5,0.516800801968202,0.0498205199837684,0.0201960444322759,0.0020734171801979,0.0149199069897882,0.0207350459571615,0.070992099209921,0.0561313783228691,0.0332272718325169,0.0330176700510178,0.0215507081199073,12072,12728
retailhero,Y,dr_learner,0,120023,40008,40008,5,0.8975866859545931,0.022207019967027,0.0173056278258361,0.0017766739506106,0.0127527160587477,0.0201363905855257,0.0843835210958803,0.06330644566676,0.0332272718325169,0.0328640959619114,0.0332937024888335,12072,12728
retailhero,Y,dragonnet,0,120023,40008,40008,5,138.57213106902782,0.0237436019815504,0.0252522996989471,0.0025925151933033,0.018611562700405,0.021754812831292,0.0747526515196977,0.0666674581458516,0.0332272718325169,0.0312023768050626,0.0219409330947007,12072,12728
retailhero,Y,t_learner,1,120023,40008,40008,5,0.7186683239415288,0.1914790810551494,0.0080746321218182,0.0008289653208966,0.006015236701945,0.0182812595074278,0.0631253945337158,0.046252856354651,0.0332392782774024,0.0327854561587751,0.0495779528668031,12073,12728
retailhero,Y,x_learner,1,120023,40008,40008,5,0.5274718350265175,0.0519738900475204,0.0148367134747892,0.001523180345696,0.0109717205853913,0.019650415034647,0.052,0.0541745753790058,0.0332392782774024,0.033112423198259,0.0187638108684057,12073,12728
retailhero,Y,dr_learner,1,120023,40008,40008,5,0.9354154400061816,0.0224805329926311,0.0099245017437808,0.0010188783400474,0.0072178849566208,0.0186134733396344,0.0607398515795463,0.0465118211737006,0.0332392782774024,0.0327423197845315,0.0297768631139585,12073,12728
retailhero,Y,dragonnet,1,120023,40008,40008,5,152.30584249505773,0.023660646053031,0.0206061008596865,0.0021154825079178,0.0153116076358444,0.0208492447862134,0.0623264540337711,0.0660051224789848,0.0332392782774024,0.031650202248638,0.0207510288225329,12073,12728
retailhero,Y,t_learner,2,120023,40008,40008,5,0.7241403920343146,0.1587995579466223,0.0102852612598411,0.0010559149658015,0.0077032294836549,0.0187475426027291,0.0600518433179724,0.0435215625495579,0.0332392782774024,0.0330902101198601,0.052215639269583,12073,12728
retailhero,Y,x_learner,2,120023,40008,40008,5,0.5281380820088089,0.0524189360439777,0.0123058476864281,0.0012633542708057,0.0092224002259968,0.0191671911010554,0.0624147543512628,0.045899903698281,0.0332392782774024,0.0329580050248664,0.0202784059821341,12073,12728
retailhero,Y,dr_learner,2,120023,40008,40008,5,0.9112629949813708,0.0236778579419478,0.0092384497196644,0.0009484462351858,0.0068298750425083,0.0185062913269384,0.0337527212375163,0.0464401517958741,0.0332392782774024,0.0328996301935881,0.0326520347543169,12073,12728
retailhero,Y,dragonnet,2,120023,40008,40008,5,147.20074886397924,0.0243955780752003,0.0171801321506089,0.0017637625524503,0.0129276694598217,0.0201907170461855,0.0431262101742651,0.0516666908274018,0.0332392782774024,0.0313312456382736,0.0240120439004415,12073,12728
retailhero,Y,t_learner,3,120023,40008,40008,5,0.7108600849751383,0.1832981089828536,0.0036527845486538,0.0003750055321231,0.0025341986177715,0.0173196741082854,0.0476340477127982,0.0396755898981822,0.0332392782774024,0.0321787943440966,0.051039021447389,12073,12728
retailhero,Y,x_learner,3,120023,40008,40008,5,0.489568791934289,0.0297745290445163,0.0161743921417843,0.0016605103452196,0.0119776519352707,0.0199282887249641,0.0599421302200071,0.0595194950129909,0.0332392782774024,0.0326728858155142,0.0171586873758492,12073,12728
retailhero,Y,dr_learner,3,120023,40008,40008,5,0.7933084239484742,0.0148611810291185,0.0073312354188831,0.0007526460437945,0.0055710663085846,0.0181585639911309,0.0556459332894819,0.0473366625052018,0.0332392782774024,0.0326027236615248,0.0297979906684112,12073,12728
retailhero,Y,dragonnet,3,120023,40008,40008,5,167.10894583701156,0.0256391130387783,0.0218883660459696,0.00224712359764,0.0161731251322914,0.0210872262807151,0.0561853511584446,0.0581508372906772,0.0332392782774024,0.0411913251942681,0.0187590910647097,12073,12728
retailhero,Y,t_learner,4,120023,40008,40008,5,0.7209146459354088,0.1810610629618168,0.0062875017827141,0.0006455033440098,0.0048629258655425,0.0179569493500575,0.0576956876428028,0.040646428194724,0.0332272718325169,0.0326717011337874,0.0510757977160073,12072,12728
retailhero,Y,x_learner,4,120023,40008,40008,5,0.5289641199633479,0.0491039620246738,0.0232175397064099,0.0023836175381088,0.0172506366823778,0.0213788765630926,0.0665182660730642,0.0649023079753324,0.0332272718325169,0.0330272046206206,0.0199391718016829,12072,12728
retailhero,Y,dr_learner,4,120023,40008,40008,5,1.186804658966139,0.0229655470466241,0.0140723043284596,0.0014447263501248,0.0105380123665645,0.0195246104959556,0.062716049382716,0.0588814969360573,0.0332272718325169,0.0328573839635623,0.0308343412804498,12072,12728
retailhero,Y,dragonnet,4,120023,40008,40008,5,117.51858342904598,0.0255924720549955,0.0184756346109944,0.0018967921340217,0.0136030336867148,0.0203712786188264,0.0682750924014783,0.0733536470143613,0.0332272718325169,0.0282194624913618,0.0210462652452554,12072,12728
criteo,conversion,t_learner,0,8393384,2794564,2791644,10,48.57921391807031,9.724966465961188,0.3531466289271576,0.0002770089308893,0.0041882634292382,0.0009368774793191,0.0073868983816255,0.0045498350036032,0.0012301558278883,0.0009395888547002,0.0095528474348077,776,7317
criteo,conversion,x_learner,0,8393384,2794564,2791644,10,86.3988690560218,7.174029186018743,0.4532284255832121,0.0003555132948624,0.0053803666641116,0.001028471121731,0.007982308741279,0.0047991770575259,0.0012301558278883,0.0009385379692746,0.0065120271235138,776,7317
criteo,conversion,dr_learner,0,8393384,2794564,2791644,10,286.2398779770592,3.48515566799324,0.4514976954367233,0.0003541557066306,0.0053502803076338,0.0010261594771552,0.0080410068699731,0.0044300657908166,0.0012301558278883,0.0009481061897468,0.011363562211662,776,7317
criteo,conversion,dragonnet,0,8393384,2794564,2791644,10,1311.0304197410587,0.3848989889957011,0.3324296332074591,0.00026075847749272286,0.00393428533312052,0.0009173634152383427,0.007214353067792497,0.004314393261847833,0.0012301558278883275,0.0006169968701736437,0.009661637636406673,776,7317
criteo,conversion,t_learner,1,8393270,2793936,2792386,10,48.892514806007966,9.481233283062464,0.3764479385631472,0.000305989575325,0.0046338226386653,0.0009431484740642,0.0073194537012159,0.0045549835344604,0.0011741201738937,0.0010067108273561,0.0093919848458937,804,7345
criteo,conversion,x_learner,1,8393270,2793936,2792386,10,86.87180153594818,7.030331941903569,0.427823181223771,0.0003477491045283,0.0052662702761971,0.0009917492248365,0.0079928310677307,0.0045274991360915,0.0011741201738937,0.0009941080947949,0.0067565913254142,804,7345
criteo,conversion,dr_learner,1,8393270,2793936,2792386,10,270.4475552740041,5.190650973003358,0.4492500902369449,0.0003651656185209,0.0055290648809155,0.0010119438059058,0.0083214443405197,0.0046382638119318,0.0011741201738937,0.0010084009568471,0.0110941298271758,804,7345
criteo,conversion,dragonnet,1,8393270,2793936,2792386,10,2144.2068854370154,0.3756553611019626,0.491781740665975,0.00039973677782212326,0.006069203288537113,0.0010534510083579287,0.008106552027436976,0.004910426830166957,0.0011741201738937907,0.0019004333667660509,0.010411863889748853,804,7345
criteo,conversion,t_learner,2,8381223,2805920,2792449,10,48.37986441294197,10.41466303600464,0.3898288517446684,0.000325106055567,0.004915964978114,0.0009615106129093,0.007832544111202,0.0045024476393759,0.0011670819791257,0.0009646889783837,0.0089349767030199,825,7447
criteo,conversion,x_learner,2,8381223,2805920,2792449,10,85.84366702998523,6.693597013014369,0.4010469968418129,0.0003344616660791,0.0050536902388614,0.00097209977804,0.0080871625358101,0.0046028934333117,0.0011670819791257,0.0009519635615831,0.0066027613878566,825,7447
criteo,conversion,dr_learner,2,8381223,2805920,2792449,10,271.20474079507403,3.642174779903144,0.4424698108829975,0.0003690071021677,0.0055787358643836,0.0010124685150432,0.0083224919845737,0.004633097982102,0.0011670819791257,0.0009735741294547,0.0116023066941838,825,7447
